arm,step,critic/score/mean,critic/score/max,val/test_score/game24,response_length/mean,actor/kl_loss,actor/entropy_loss
divC-hiKL,24,0.449,1.0,,198.438,0.078,0.665
divC-hiKL,25,0.553,1.0,,182.219,0.112,0.214
divC-hiKL,26,0.455,1.0,,199.094,0.075,0.358
divC-hiKL,27,0.543,1.0,,200.344,0.074,0.725
divC-hiKL,28,0.466,1.0,,198.938,0.093,0.642
divC-hiKL,29,0.513,1.0,,193.422,0.088,0.122
divC-hiKL,30,0.572,1.0,,191.078,0.141,0.198
divC-hiKL,31,0.574,1.0,,198.5,0.068,0.508
divC-hiKL,32,0.565,1.0,,195.766,0.079,0.162
divD-hiEnt,1,0.522,1.0,,192.828,0.0,0.026
divD-hiEnt,2,0.456,1.0,,202.891,0.0,0.025
divD-hiEnt,3,0.486,1.0,,199.609,0.001,0.032
divD-hiEnt,4,0.472,1.0,,202.828,0.001,0.025
divD-hiEnt,5,0.562,1.0,,197.281,0.007,0.035
divD-hiEnt,6,0.488,1.0,,202.141,0.027,0.193
divD-hiEnt,7,0.465,1.0,,201.859,0.025,0.029
divD-hiEnt,8,0.505,1.0,,200.219,0.027,0.11
divD-hiEnt,9,0.432,1.0,,218.094,0.041,1.411
divD-hiEnt,10,0.49,1.0,,209.75,0.058,1.041
divD-hiEnt,11,0.445,1.0,,222.75,0.061,0.885
divD-hiEnt,12,0.531,1.0,,209.094,0.076,1.454
divD-hiEnt,13,0.49,1.0,,204.094,0.07,1.726
divD-hiEnt,14,0.469,1.0,,215.062,0.072,0.846
divD-hiEnt,15,0.531,1.0,,205.734,0.059,1.148
divD-hiEnt,16,0.484,1.0,,210.344,0.08,0.868
divD-hiEnt,17,0.449,1.0,,205.281,0.067,1.125
divD-hiEnt,18,0.465,1.0,,217.469,0.065,0.182
divD-hiEnt,19,0.451,1.0,,211.109,0.077,0.683
divD-hiEnt,20,0.484,1.0,,216.25,0.078,0.686
divD-hiEnt,21,0.523,1.0,,210.703,0.07,1.085
divD-hiEnt,22,0.409,1.0,,224.672,0.077,1.331
divD-hiEnt,23,0.582,1.0,,208.609,0.083,1.068
divD-hiEnt,24,0.394,1.0,,207.062,0.079,0.814
divD-hiEnt,25,0.494,1.0,,216.719,0.072,0.643
divD-hiEnt,26,0.551,1.0,,203.172,0.077,0.245
divD-hiEnt,27,0.494,1.0,,218.594,0.098,0.512
divD-hiEnt,28,0.495,1.0,,212.656,0.107,0.83
divD-hiEnt,29,0.522,1.0,,211.766,0.135,1.157
divD-hiEnt,30,0.487,1.0,,216.312,0.09,0.999
divD-hiEnt,31,0.439,1.0,,212.141,0.097,0.813
divD-hiEnt,32,0.479,1.0,,220.109,0.112,0.31
