arm,step,critic/score/mean,critic/score/max,val/test_score/game24,response_length/mean,actor/kl_loss,actor/entropy_loss
"n8 [sparse, n8]",2,0.276,1.0,,199.844,0.0,0.02
"n8 [sparse, n8]",3,0.205,1.0,,199.484,0.0,0.02
"n8 [sparse, n8]",4,0.276,1.0,,199.469,0.0,0.018
"n8 [sparse, n8]",5,0.198,1.0,,199.68,0.0,0.02
"n8 [sparse, n8]",6,0.198,1.0,,191.594,0.004,0.022
"n8 [sparse, n8]",7,0.29,1.0,,195.227,0.003,0.02
"n8 [sparse, n8]",8,0.227,1.0,,196.945,0.005,0.02
"n8 [sparse, n8]",9,0.227,1.0,,201.086,0.002,0.018
"n8 [sparse, n8]",10,0.248,1.0,,195.469,0.016,0.021
"n8 [sparse, n8]",11,0.255,1.0,,194.023,0.008,0.02
"n8 [sparse, n8]",12,0.325,1.0,,188.867,0.0,0.018
"n8 [sparse, n8]",13,0.22,1.0,,207.039,0.016,0.018
"n8 [sparse, n8]",14,0.325,1.0,,189.555,0.016,0.02
"n8 [sparse, n8]",15,0.276,1.0,,193.352,0.008,0.018
"n8 [sparse, n8]",16,0.29,1.0,,200.047,0.018,0.017
"n8 [sparse, n8]",17,0.311,1.0,,198.398,0.016,0.017
"n8 [sparse, n8]",18,0.304,1.0,,196.031,0.007,0.019
"n8 [sparse, n8]",19,0.318,1.0,,192.422,0.015,0.015
"n8 [sparse, n8]",20,0.325,1.0,0.118,201.664,0.019,0.016
"n8 [sparse, n8]",21,0.304,1.0,,201.438,0.012,0.019
"n8 [sparse, n8]",22,0.234,1.0,,198.797,0.007,0.017
"n8 [sparse, n8]",23,0.205,1.0,,201.664,0.014,0.017
"n8 [sparse, n8]",24,0.283,1.0,,192.289,0.035,0.018
"n8 [sparse, n8]",25,0.304,1.0,,197.25,0.021,0.015
"n8 [sparse, n8]",26,0.388,1.0,,191.391,0.069,0.019
"n8 [sparse, n8]",27,0.241,1.0,,192.844,0.117,0.022
"n8 [sparse, n8]",28,0.268,1.0,,189.664,0.107,0.024
"n8 [sparse, n8]",29,0.311,1.0,,187.789,0.099,0.016
"n8 [sparse, n8]",30,0.255,1.0,,190.133,0.108,0.017
"n8 [sparse, n8]",31,0.248,1.0,,187.203,0.12,0.016
"n8 [sparse, n8]",32,0.283,1.0,,189.789,0.127,0.017
"n8 [sparse, n8]",33,0.213,1.0,,187.891,0.127,0.018
"n8 [sparse, n8]",34,0.317,1.0,,168.039,0.14,0.018
"n8 [sparse, n8]",35,0.332,1.0,,179.477,0.111,0.016
"n8 [sparse, n8]",36,0.332,1.0,,179.195,0.121,0.015
"n8 [sparse, n8]",37,0.459,1.0,,173.984,0.113,0.014
"n8 [sparse, n8]",38,0.283,1.0,,181.297,0.117,0.016
