arm,step,critic/score/mean,critic/score/max,val/test_score/game24,response_length/mean,actor/kl_loss,actor/entropy_loss
pure-GRPO,101,0.1,0.1,,48.812,0.279,0.489
pure-GRPO,102,0.128,1.0,,53.406,0.198,0.524
pure-GRPO,103,0.113,1.0,,56.0,0.158,0.519
pure-GRPO,104,0.111,1.0,,53.281,0.154,0.449
pure-GRPO,105,0.1,0.1,,53.719,0.186,0.473
pure-GRPO,106,0.114,1.0,,55.406,0.138,0.481
pure-GRPO,107,0.128,1.0,,54.984,0.159,0.516
pure-GRPO,108,0.17,1.0,,55.719,0.205,0.536
pure-GRPO,109,0.128,1.0,,55.609,0.163,0.573
pure-GRPO,110,0.128,1.0,,51.75,0.204,0.496
pure-GRPO,111,0.142,1.0,,53.422,0.234,0.557
pure-GRPO,112,0.17,1.0,,52.109,0.168,0.506
pure-GRPO,113,0.184,1.0,,56.766,0.182,0.45
pure-GRPO,114,0.156,1.0,,53.578,0.189,0.457
pure-GRPO,115,0.114,1.0,,54.516,0.188,0.476
pure-GRPO,116,0.128,1.0,,55.094,0.158,0.421
pure-GRPO,117,0.142,1.0,,58.438,0.167,0.44
pure-GRPO,118,0.142,1.0,,58.906,0.174,0.465
pure-GRPO,119,0.128,1.0,,58.531,0.219,0.434
pure-GRPO,120,0.156,1.0,0.1,56.547,0.151,0.352
pure-GRPO,121,0.142,1.0,,59.109,0.21,0.444
pure-GRPO,122,0.1,0.1,,60.203,0.135,0.381
pure-GRPO,123,0.156,1.0,,61.734,0.181,0.514
pure-GRPO,124,0.114,1.0,,63.969,0.108,0.387
pure-GRPO,125,0.1,0.1,,62.484,0.125,0.428
pure-GRPO,126,0.198,1.0,,60.469,0.163,0.491
pure-GRPO,127,0.269,1.0,,63.734,0.23,0.409
pure-GRPO,128,0.114,1.0,,66.281,0.134,0.459
pure-GRPO,129,0.156,1.0,,66.203,0.167,0.406
pure-GRPO,130,0.213,1.0,,62.812,0.156,0.41
pure-GRPO,131,0.114,1.0,,62.75,0.121,0.35
pure-GRPO,132,0.128,1.0,,67.953,0.17,0.404
pure-GRPO,133,0.142,1.0,,64.609,0.192,0.376
pure-GRPO,134,0.1,0.1,,66.781,0.151,0.41
pure-GRPO,135,0.198,1.0,,65.5,0.144,0.353
pure-GRPO,136,0.17,1.0,,68.688,0.1,0.402
pure-GRPO,137,0.213,1.0,,72.812,0.159,0.391
pure-GRPO,138,0.184,1.0,,66.984,0.165,0.384
pure-GRPO,139,0.213,1.0,,65.047,0.148,0.287
pure-GRPO,140,0.213,1.0,0.1,64.875,0.248,0.345
pure-GRPO,141,0.227,1.0,,67.953,0.163,0.348
pure-GRPO,142,0.156,1.0,,61.562,0.226,0.385
pure-GRPO,143,0.213,1.0,,65.406,0.136,0.353
pure-GRPO,144,0.142,1.0,,66.469,0.176,0.341
pure-GRPO,145,0.156,1.0,,68.203,0.177,0.328
pure-GRPO,146,0.128,1.0,,61.969,0.144,0.299
pure-GRPO,147,0.128,1.0,,64.844,0.168,0.288
pure-GRPO,148,0.184,1.0,,66.641,0.153,0.334
pure-GRPO,149,0.17,1.0,,69.859,0.143,0.336
pure-GRPO,150,0.114,1.0,,69.641,0.208,0.364
pure-GRPO,151,0.1,0.1,,70.312,0.154,0.461
pure-GRPO,152,0.128,1.0,,69.188,0.18,0.355
pure-GRPO,153,0.142,1.0,,69.812,0.149,0.389
pure-GRPO,154,0.1,0.1,,69.016,0.183,0.384
pure-GRPO,155,0.1,0.1,,69.25,0.151,0.289
pure-GRPO,156,0.213,1.0,,74.484,0.143,0.481
pure-GRPO,157,0.198,1.0,,74.234,0.148,0.339
pure-GRPO,158,0.128,1.0,,72.828,0.176,0.415
pure-GRPO,159,0.156,1.0,,71.594,0.141,0.366
pure-GRPO,160,,,0.1,,,
SFT-GRPO,0,,,0.1,,,
SFT-GRPO,1,0.269,1.0,,130.188,0.0,0.033
SFT-GRPO,2,0.255,1.0,,132.938,0.0,0.042
SFT-GRPO,3,0.255,1.0,,133.484,0.018,0.027
SFT-GRPO,4,0.241,1.0,,133.375,0.003,0.028
SFT-GRPO,5,0.311,1.0,,131.438,0.001,0.03
SFT-GRPO,6,0.283,1.0,,135.953,0.003,0.034
SFT-GRPO,7,0.283,1.0,,132.922,0.011,0.034
SFT-GRPO,8,0.241,1.0,,130.812,0.011,0.035
SFT-GRPO,9,0.198,1.0,,136.188,0.005,0.037
SFT-GRPO,10,0.17,1.0,,135.469,0.002,0.031
SFT-GRPO,11,0.255,1.0,,131.078,0.025,0.033
SFT-GRPO,12,0.198,1.0,,133.328,0.008,0.032
SFT-GRPO,13,0.353,1.0,,133.375,0.048,0.039
SFT-GRPO,14,0.339,1.0,,128.031,0.041,0.034
SFT-GRPO,15,0.156,1.0,,136.406,0.049,0.032
SFT-GRPO,16,0.269,1.0,,131.797,0.057,0.032
SFT-GRPO,17,0.297,1.0,,131.5,0.061,0.03
SFT-GRPO,18,0.269,1.0,,138.062,0.038,0.03
SFT-GRPO,19,0.395,1.0,,134.203,0.046,0.03
SFT-GRPO,20,0.437,1.0,0.1,130.922,0.04,0.025
SFT-GRPO,21,0.269,1.0,,138.062,0.041,0.029
SFT-GRPO,22,0.269,1.0,,130.297,0.046,0.035
SFT-GRPO,23,0.198,1.0,,137.016,0.061,0.029
SFT-GRPO,24,0.213,1.0,,135.328,0.064,0.03
SFT-GRPO,25,0.198,1.0,,136.312,0.08,0.034
SFT-GRPO,26,0.353,1.0,,141.438,0.034,0.028
SFT-GRPO,27,0.297,1.0,,132.859,0.055,0.027
SFT-GRPO,28,0.212,1.0,,135.797,0.073,0.033
SFT-GRPO,29,0.241,1.0,,134.828,0.042,0.038
SFT-GRPO,30,0.195,1.0,,123.109,0.204,0.051
SFT-GRPO,31,0.213,1.0,,113.422,0.137,0.052
SFT-GRPO,32,0.353,1.0,,110.75,0.179,0.055
SFT-GRPO,33,0.184,1.0,,108.562,0.26,0.063
SFT-GRPO,34,0.167,1.0,,116.469,0.172,0.063
SFT-GRPO,35,0.234,1.0,,118.375,0.251,0.062
SFT-GRPO,36,0.206,1.0,,112.453,0.274,0.082
SFT-GRPO,37,0.311,1.0,,101.281,0.374,0.095
SFT-GRPO,38,0.197,1.0,,103.531,0.274,0.089
SFT-GRPO,39,0.184,1.0,,98.188,0.34,0.096
SFT-GRPO,40,0.113,1.0,0.1,100.984,0.209,0.076
SFT-GRPO,41,0.213,1.0,,111.859,0.29,0.06
SFT-GRPO,42,0.197,1.0,,115.25,0.287,0.06
SFT-GRPO,43,0.184,1.0,,110.125,0.306,0.053
SFT-GRPO,44,0.325,1.0,,111.0,0.266,0.046
SFT-GRPO,45,0.114,1.0,,119.594,0.329,0.043
SFT-GRPO,46,0.269,1.0,,115.172,0.278,0.05
SFT-GRPO,47,0.241,1.0,,116.625,0.266,0.038
SFT-GRPO,48,0.142,1.0,,121.328,0.265,0.048
SFT-GRPO,49,0.198,1.0,,120.641,0.255,0.047
SFT-GRPO,50,0.241,1.0,,114.047,0.249,0.041
SFT-GRPO,51,0.269,1.0,,104.906,0.363,0.041
SFT-GRPO,52,0.255,1.0,,108.859,0.324,0.039
SFT-GRPO,53,0.213,1.0,,117.125,0.249,0.035
SFT-GRPO,54,0.212,1.0,,119.969,0.29,0.039
SFT-GRPO,55,0.283,1.0,,117.344,0.321,0.045
SFT-GRPO,56,0.184,1.0,,110.781,0.27,0.041
SFT-GRPO,57,0.156,1.0,,120.891,0.274,0.034
